Complexity,Loss,Equation
1,0.2523313,"-0.25663897"
3,0.17242265,"(T * -0.21228804)"
5,0.11644222,"((H * -0.05609262) * T)"
7,0.10752044,"(-0.4554766 / ((1.0336059 / H) + B))"
9,0.057819918,"((-0.47349998 / ((T / H) + B)) * T)"
11,0.045167815,"(((-0.45243153 / ((B / 0.32909667) + T)) * T) * H)"
13,0.04347532,"(((-0.41530904 / (-0.2568302 + ((B / 0.35215938) + T))) * T) * H)"
15,0.034921404,"((-1.9706259 / (((T * T) + (B / 0.08667433)) + 2.3833141)) * (T * H))"
17,0.028664766,"(((H * -1.5142181) / (((T - 1.9009453) * T) + ((B - -0.41140822) / 0.10142497))) * T)"
19,0.028255537,"(((H * -1.4953357) / ((((T - 1.2495579) * (T + -1.6643081)) + (B / 0.10142497)) + H)) * T)"
21,0.02740317,"((((H * -1.6643081) + 0.60791105) / ((((T + -1.150943) * (T + -1.6643081)) + (B / 0.10142497)) + H)) * T)"
23,0.02735305,"((((H * -1.6643081) + 0.7266925) / ((((T - 1.2495579) * (T + -1.6643081)) + ((B / 0.10142497) - 0.10142497)) + H)) * T)"
25,0.027352042,"((((H * -1.6643081) + 0.7266925) / ((((T - 1.2495579) * (T + -1.6643081)) + ((B / 0.10142497) + (0.10142497 / -0.89316696))) + H)) * T)"
