Complexity,Loss,Equation
1,0.27659458,"0.28499034"
3,0.2386815,"(0.16342339 * T)"
5,0.18601997,"(0.4176682 / (B + 0.23481469))"
7,0.17596392,"(H / (2.347496 + (B / 0.16846383)))"
9,0.1514301,"(T / (((T / H) / 0.35188663) + B))"
11,0.13709953,"((H * T) / ((T * T) + (B / 0.16845044)))"
13,0.12542571,"(T / (B + ((((T - 1.3216872) * T) - -1.8156304) / H)))"
15,0.097049184,"(((T * T) * (-0.035649985 / (1.1508588 - (B - (0.66043943 - T))))) * H)"
17,0.08695971,"((((H * T) * T) * (-0.035649985 / (1.1508588 - (B - (0.66043943 - T))))) + 0.08150663)"
21,0.082168765,"((((B - (H * T)) * T) * ((0.11074054 / (1.1508588 - (B - (0.66043943 - T)))) * 0.34264442)) + 0.14399739)"
23,0.07897655,"(((0.18760248 - T) * (((0.11470153 * (H + (T + -1.8065648))) + -0.12063148) / (1.1478808 - (B - (0.66043943 - T))))) + 0.11842216)"
25,0.078849785,"(((0.18760248 - T) * (((0.11842216 * (H + ((T / 1.0720074) + -1.8065648))) + -0.12063148) / (1.1478808 - (B - (0.66043943 - T))))) + 0.11842216)"
