Complexity,Loss,Equation
1,0.42916894,"0.27816847"
3,0.3631766,"(0.22837603 * T)"
5,0.25164708,"(0.28377673 / (B - -0.1259722))"
7,0.24089353,"(0.116129406 / ((B / H) - -0.05163453))"
9,0.22644363,"(T / ((B / 0.33437222) + (T * 0.44554445)))"
11,0.20522028,"(0.116129406 / ((B / ((H * T) + 0.29138508)) - -0.054685406))"
13,0.17282128,"((0.18021786 / (((B + T) - 1.6111503) + B)) * (H * T))"
15,0.061384838,"(T / ((((0.15463084 / ((H / -1.6361535) + T)) + B) * 1.857445) + 1.8057171))"
17,0.057038438,"((T / ((((0.15463084 / ((H / -1.6361535) + T)) + B) * 1.857445) + 1.8057171)) / 1.0983939)"
19,0.032845862,"((0.18021786 / (((0.1368667 / ((H / -1.6678504) + T)) + (T * 0.5799035)) + B)) * (H * T))"
21,0.019768259,"((0.20370941 / (((0.1368667 / (((B + H) / -1.6678504) + T)) + (T * 0.5799035)) + B)) * (H * T))"
23,0.015424557,"(((H / (1.7186913 / 0.2941367)) / (((0.13797016 / (((H + B) / -1.6678504) + T)) + B) + (T * 0.57081187))) * T)"
25,0.014512495,"(((H / (1.6153152 / 0.2941367)) / (((0.1368667 / (((H + (B / 0.15933287)) / -1.6678504) + T)) + B) + (T * 0.57081187))) * T)"
