Complexity,Loss,Equation
1,0.16077018,"-0.20387347"
3,0.11656471,"(T * -0.16579671)"
5,0.06984754,"((-0.05282727 * T) * H)"
7,0.06934218,"((-0.0489535 * (H + 0.4033805)) * T)"
9,0.06680037,"(((T * H) - (B + -2.9109683)) * -0.049143534)"
11,0.052467242,"((-0.05282727 * (H - (-0.24581291 / (0.9600421 - T)))) * T)"
13,0.038586903,"((-0.05405827 * (H + ((-0.057917222 * H) / (T - 0.9680076)))) * T)"
15,0.029266208,"((-0.061449982 * (H + (((-0.05431218 * H) + 0.2111502) / (T - 0.9870824)))) * T)"
17,0.016581314,"((-0.05282691 * (H + ((((-0.05282691 * H) + 0.275026) / 0.275026) / (T - 0.97244763)))) * T)"
19,0.016522948,"((-0.05282691 * (H + ((((-0.05282691 * H) + 0.275026) / 0.27720198) / (T - 0.97244763)))) * (T / 0.97522336))"
21,0.016153526,"((-0.05282691 * (H + (((((-0.05405827 * H) + (-0.015271981 * B)) + 0.29873198) / 0.29873198) / (T - 0.97244763)))) * T)"
23,0.013666758,"((-0.056484237 * (H + (((-0.07260755 * H) + (-0.20947686 / ((-0.72574246 * H) + (-1.1489042 / -0.6185039)))) / (T - 0.9740309)))) * T)"
25,0.012942182,"(((T * -0.2620395) * H) / (T + (B / (((H * T) + 0.5825932) / ((0.6854026 / (T + -1.0243471)) + (B + H))))))"
