Complexity,Loss,Equation
1,0.17344902,"-0.2542245"
3,0.12011124,"(-0.1694951 * T)"
5,0.0764062,"(-0.052829433 * (T * H))"
7,0.07601757,"((-0.05092276 * (T * H)) - 0.02447896)"
9,0.052776814,"(((-0.29441127 * H) / (T + B)) * T)"
11,0.04227713,"(((-0.37718332 * H) / ((B / 0.46440575) + T)) * T)"
13,0.04214827,"((-0.08772587 * H) / ((B / (-0.08772587 + (T / 0.49877208))) + 0.22865987))"
15,0.04147996,"(((-0.08903125 - (0.023340752 * B)) * H) / ((B / (-0.01526138 + T)) + 0.22865987))"
17,0.037029687,"((-0.08903125 * H) / ((B / (((-0.044420682 / (B + -1.9633687)) + T) / 0.53394026)) + 0.22865987))"
19,0.034655392,"((-0.08903125 * H) / ((B / ((((-0.13733944 * 0.25101963) / (-1.9718881 + B)) + T) / 0.42869332)) + 0.22865987))"
21,0.034444008,"((-0.08903125 * (H - 0.047813103)) / ((B / ((((-0.13733944 * 0.25101963) / (-1.9718881 + B)) + T) / 0.42869332)) + 0.22865987))"
23,0.034362804,"((-0.08903125 * (H - (0.047813103 * 1.5500684))) / ((B / ((((-0.13733944 * 0.25101963) / (-1.9718881 + B)) + T) / 0.42869332)) + 0.22865987))"
25,0.034005836,"((-0.08903125 * H) / ((B / ((((-0.044420682 * 0.21775217) / (B + ((-1.8410472 / (0.5386614 + T)) - 0.7963433))) + T) / 0.42869332)) + 0.22865987))"
