Complexity,Loss,Equation
1,0.15759242,"-0.24081202"
3,0.1000712,"(-0.17740239 * T)"
5,0.0635458,"((H * T) * -0.045354206)"
7,0.06269269,"(((H - -0.67810774) * -0.040300544) * T)"
9,0.05841761,"(((H / (T + B)) * -0.2449315) * T)"
11,0.055789173,"((H * (T / (T + (B * 1.42657)))) * -0.27730882)"
13,0.053845808,"((((H + B) / (T + (B / 0.43979052))) * -0.2449315) * T)"
15,0.051764477,"((-0.24081299 * 0.09302392) * (T * ((H / 0.56564933) + (-0.16992934 / (-0.9483095 + T)))))"
17,0.04874167,"((-0.24081206 * 0.09302392) * (T * ((H / 0.57219154) + ((-0.16992934 / (-0.9483095 + T)) - -1.4009367))))"
19,0.041449122,"(((T / (((T + 2.5585961) + (((B + B) + T) - H)) + -0.98935246)) * -0.34947765) * T)"
21,0.03746508,"(((T / (((T + (2.5585961 + (B + B))) + (T - (H - -0.15050115))) + -0.98935246)) * -0.34947765) * T)"
23,0.032944206,"((((T / ((((T + B) + ((T + 1.0622704) - H)) + 1.0092652) + (-0.7377214 + B))) * -0.2965212) * T) + -0.074531816)"
25,0.032239772,"((((T / (((((T + 1.0571706) + B) + ((T + 1.0092652) - H)) + B) + -0.7377214)) * -0.2965212) * (T - 0.07766219)) + -0.07033974)"
