Complexity,Loss,Equation
1,0.122682445,"0.24192244"
3,0.066678315,"(T * 0.19549236)"
5,0.04405724,"((0.04908099 * H) * T)"
7,0.040892437,"(T * (0.058079403 + (0.038039025 * H)))"
9,0.017204564,"(((H / (T + B)) * 0.26800135) * T)"
11,0.014298052,"(((0.30698037 / (T + (B * 1.5486962))) * T) * H)"
13,0.012693865,"(((0.27111122 / (T + (B / 0.6077899))) * T) * (H + 0.73590463))"
15,0.011137143,"((0.45383215 / ((0.05524157 * H) + (((T + B) + B) / H))) * T)"
17,0.010643846,"((0.42117664 / ((0.05524157 * (H - 1.7119092)) + (((B + T) + B) / H))) * T)"
19,0.010595773,"((0.42117664 / (((0.05524157 * H) + -0.10514226) + ((B + (T + B)) / (H - 0.05524157)))) * T)"
21,0.010501639,"(((0.42117664 - (0.003897426 * T)) / (((0.05524157 * H) + -0.10514226) + ((B + (T + B)) / H))) * T)"
23,0.009632647,"((0.42117664 / (((0.05524157 * H) + (((T + B) + B) / ((-0.12885353 / (-2.2616882 + T)) + H))) - 0.08362924)) * T)"
25,0.009410599,"((0.42117664 / (((0.05524157 * H) + (((T + B) + B) / ((-0.12885353 / ((-2.2616882 - B) + T)) + H))) - 0.08362924)) * T)"
