Complexity,Loss,Equation
1,0.13513133,"0.24555577"
3,0.075064726,"(T / 5.183177)"
5,0.04657642,"((0.048189923 * T) * H)"
7,0.044338427,"(((0.03935905 * H) - -0.04729196) * T)"
9,0.018635018,"(T / (((T / 0.30677697) / H) + B))"
11,0.015680162,"(T / (((B / 0.19254948) / H) + (T * 0.6358841)))"
13,0.0099319685,"(T / ((((B / 0.19211161) + T) / H) + (T * 0.3858752)))"
15,0.0090561295,"(T / ((((B / 0.19424272) + (T + 0.5329382)) / H) + (T * 0.34615138)))"
17,0.007090089,"(T / (((B / 0.20631969) - ((T - ((T * T) * 0.65035814)) - H)) / H))"
19,0.0070790173,"(T / (((B / 0.20631969) - (((T - ((T * T) * 0.65035814)) / 1.0227354) - H)) / H))"
21,0.0068703117,"(T / (((B / 0.20631969) - (((T - ((T + -0.9998863) * (T / 1.2979015))) - 0.88855916) - H)) / H))"
23,0.006868418,"(T / ((((B / 0.20637517) - -0.8104723) - ((((T - 0.3516187) - ((T / 1.2336754) * T)) - H) + T)) / H))"
25,0.006756348,"(T / ((((B / 0.20637517) + 0.8421494) - ((T - ((T / (1.3168981 - (0.08682104 * B))) * (T + -0.94026595))) - H)) / H))"
