Complexity,Loss,Equation
1,0.13011874,"-0.2523772"
3,0.08622782,"(-0.16696095 * T)"
5,0.059146866,"((-0.048535854 * H) * T)"
7,0.05736929,"(-0.04440486 * ((H * T) + 1.181903))"
9,0.038165372,"(((-0.26869547 / (T + B)) * T) * H)"
11,0.035565358,"(((-0.3123739 / ((B * 1.5458848) + T)) * H) * T)"
13,0.034626607,"(((-0.2864533 / ((B / 0.61901057) + T)) * (H - -0.49043328)) * T)"
15,0.027973277,"(((-0.26869547 / (T + B)) * (T - (-0.03200692 / (B - 2.0511703)))) * H)"
17,0.020880166,"(((-0.26869547 / (T + (B + (-0.08503168 / ((B * T) - 1.9918622))))) * T) * H)"
19,0.018765975,"(((-0.26869547 / (((B + T) + -0.43689078) + (-0.35202098 / ((B * T) - 1.9918622)))) * T) * H)"
21,0.016892437,"(((-0.26869547 / (T + (B + (((-1.8104167 + B) / ((B * T) - 1.9918622)) * -0.29410827)))) * T) * H)"
23,0.016761811,"(((-0.26869547 / (T + (B + (((B + -0.03265328) + -1.8104167) / (((B * T) - 1.9918622) / -0.35202098))))) * T) * H)"
25,0.016650444,"(((-0.26869547 / (T + (B + (((B + -0.039838333) + -1.8104167) / (((B * T) - 1.9918622) / -0.35202098))))) * (T - 0.028398558)) * H)"
