Complexity,Loss,Equation
1,0.35828865,"0.2812867"
3,0.3075943,"(0.1920268 * T)"
5,0.22043107,"(0.33547232 / (0.14930204 + B))"
7,0.21379425,"((0.047002207 / (B + 0.026537966)) - -0.17965145)"
9,0.1887863,"(T / ((T * 0.45804566) + (B / 0.3853865)))"
11,0.14472891,"(0.22074006 - (0.046265498 / ((1.1563771 + (0.77623236 - T)) + B)))"
13,0.08919672,"(0.25002682 - (0.050197374 / ((((1.1563771 + B) + T) - -0.38200217) - H)))"
15,0.048409324,"((0.16746926 * T) - (0.04790529 / ((1.1563771 + T) - ((H - B) + -0.38200217))))"
17,0.03193603,"(((0.04423085 * T) * H) - (0.048839938 / ((1.1563771 - ((H - B) + -0.38200217)) + T)))"
19,0.028822845,"(((0.04423085 * T) * H) - (0.050197374 / (((1.1563771 + T) - (H + -0.38200217)) - (B / 0.35644674))))"
21,0.01298283,"((((T * 0.25334513) * H) / (T + B)) - (0.04790529 / ((1.1560155 + T) - ((H - B) + -0.38185176))))"
23,0.011958857,"((((H * T) * 0.26394245) / (T + B)) - (0.04788527 / ((1.1560155 + T) - ((H - (B / 0.34508443)) + -0.38185176))))"
25,0.01063945,"((((T * (H + 0.5923239)) * 0.26394245) / (T + (1.5157254 * B))) - (0.047002207 / ((1.1560155 + T) - ((H - B) + -0.38185176))))"
