Complexity,Loss,Equation
1,0.10880032,"2.8434699"
5,0.06244046,"(2.4946806 + (0.06976969 * t))"
6,0.026591277,"(3.0154607 - exp(-0.6862954 * t))"
8,0.026245402,"(exp(exp(-0.64492524 / exp(t))) + 0.28654134)"
9,0.02601533,"exp(exp(exp(-0.6092758 / exp(t)) - 0.90307206))"
