Complexity,Loss,Equation
1,0.07810196,"0.23509699"
3,0.044169005,"(0.15202208 * T)"
5,0.02436305,"(0.043667223 * (H * T))"
7,0.022067318,"(0.038972475 * ((T * H) + 1.5302712))"
9,0.01304778,"((T * 0.2362333) / ((T + B) / H))"
11,0.011830956,"((T * 0.30100456) / (((B + T) / H) - -0.22556184))"
13,0.0117704915,"((T * 0.29174653) / ((((B - 0.1558947) + T) / H) - -0.22556184))"
15,0.011744819,"((T * 0.29174653) / (((B + ((T * 1.048653) + -0.22556184)) / H) - -0.22556184))"
17,0.01111494,"((T * 0.3460409) / ((T * 0.19825484) + ((((T / H) + B) + 1.1709999) / H)))"
19,0.01089825,"((T * 0.5709811) / ((T * 0.19825484) + (((B + (T + 0.367773)) - (-1.2029388 - B)) / H)))"
21,0.010878583,"((T * 0.34718788) / ((T * 0.19825484) + ((((H + T) / H) + B) / (H - (B * 0.08583812)))))"
23,0.010861427,"((T * 0.34718788) / ((T * 0.19825484) + ((((H + T) / H) + B) / ((H - (B * 0.08583812)) / 1.0186086))))"
25,0.010716017,"((T * 0.34718788) / ((T * 0.19825484) + ((((H + T) / H) + B) / (H - ((B * (B * 0.08583812)) * 0.34718788)))))"
