Complexity,Loss,Equation
1,0.09532034,"0.21043752"
3,0.054626152,"(0.16505127 * T)"
5,0.022640852,"((T / 20.145754) * H)"
7,0.017072402,"(T / ((12.228798 / H) - -1.3164954))"
9,0.014594531,"(T / (((12.228798 / H) / H) + 2.8192894))"
11,0.013090493,"(T / (((B / 0.09078815) / (H * H)) + 2.8192894))"
13,0.0103252595,"(T / (((((B / H) / 0.09769903) + T) / H) + 2.1068127))"
15,0.0092613,"(T / ((((((B / 0.09078815) / H) - 3.0348823) + T) / H) + 2.8192894))"
17,0.008027234,"((T / (((B / 0.074811675) / H) - ((-1.3204113 - (T * 0.40979797)) * H))) * H)"
19,0.00799686,"((T / (((B / 0.051757395) / (H - -1.0298433)) - ((-1.3071806 - (T * 0.40979797)) * H))) * H)"
21,0.007851846,"((T / (((((((12.228798 / H) + B) * B) + 1.9314924) + H) / H) + (T / 1.7949831))) / 0.78409624)"
23,0.007599012,"((T / ((((((((12.228798 / H) + -0.7131437) + B) * B) + 1.9314924) + H) / H) + (T / 1.7949831))) / 0.78409624)"
25,0.0071406476,"((T / (((B / 0.074811675) / H) - (((-0.06600267 / (-2.1153307 + B)) - (((T - -1.8598694) - -1.2520777) * 0.40979797)) * H))) * H)"
