Complexity,Loss,Equation
1,61.805116989885946,"-0.40118251670856225"
3,25.48385725588205,"(-0.1224451109758063 * A)"
5,24.04066997610906,"(-0.1468226017574538 * (A + -0.8169512891368942))"
7,16.645765196597566,"((-0.16859723486938105 * A) - (-0.06063996125555781 * B))"
9,13.496326754017174,"(-0.17654778024443682 / (((B / A) / A) + 0.12995165497121974))"
11,12.96250023953398,"((-0.22908458312512578 / ((B / (A * A)) + 0.16469394637292045)) + 0.07090746843615954)"
13,11.644788558239474,"(-0.3869370510371034 / (((B / A) / (A + (B * -0.40118251670856225))) + 0.3191618137821303))"
15,11.605928705138329,"(-0.3869370510371034 / ((((B + 0.15846891195596224) / (A + (B * -0.3986080078092868))) / A) + 0.31252227083299056))"
17,11.485157115014932,"(-0.21392900519637276 / (((B + 0.40584871001193934) / (A * ((A + (0.8894005316762383 - B)) + A))) + 0.1744880386106748))"
