Complexity,Loss,Equation
1,41.099687636792105,"-0.4415313802554956"
3,14.988990686703868,"(-0.122144191387095 * A)"
5,13.288627080450691,"((-0.15523491096923966 * A) - -0.17756977989035477)"
7,8.148763317652495,"(-0.1713914049044275 * (A + (-0.3827702530505781 * B)))"
9,7.566711054960308,"(((-0.15837384508432678 * A) - 0.1465627730360942) + (0.08464615113744445 * B))"
11,6.912549596776389,"(-0.16034970403448354 * (A / ((B + (A + -1.5698540677316688)) / A)))"
13,6.852767394508997,"(-0.1639293607405097 * ((A / ((B + (A + -1.5698540677316688)) / A)) - 0.12820804221953347))"
15,6.30428288043582,"(((1.1010220085907987 - (A - B)) / (((B + A) / 1.4878048950196647) + 1.800207463437284)) + -0.640926888696769)"
17,6.3029451938277585,"(((1.1010220085907987 - (A - B)) / ((((A - -0.677971226647547) + B) / 1.4878048950196647) + 1.322312027095399)) + -0.6419918179230062)"
