Complexity,Loss,Equation
1,61.42907570454786,"-0.4124763621728635"
3,24.205180436962948,"(-0.12453605255663475 * A)"
5,22.646916568784032,"((-0.15009454334784555 * A) + 0.12738602467103008)"
7,15.186998994659122,"((-0.1715573861817632 * A) - (-0.06215847409570525 * B))"
9,11.580767083533763,"(-0.1766632779547506 / ((B / (A * A)) - -0.12559055067401728))"
11,11.020569796552545,"((-0.2559647921526171 / ((B / (A * A)) - -0.17155738618067976)) - -0.10997357051935988)"
13,10.029433724390293,"(-0.292119406987546 / ((B / (A * (A - (0.32414346483698464 * B)))) - -0.22231088391489814))"
15,9.868044375541059,"(-0.2905383527628423 / ((B / ((A - -0.6627379236855464) * (A + (-0.3816164884488624 * B)))) - -0.22231088391489814))"
17,9.749919759314812,"(-0.292321144605218 / (((B - -0.22456605324328088) / ((A - -0.9142614623427923) * (A + (-0.3816164884488624 * B)))) - -0.22216288198486606))"
