Complexity,Loss,Equation
1,53.304646127607185,"0.404273953173877"
3,21.713290401138956,"(0.12093401984150363 * A)"
5,14.453842649304029,"(A / (B - -5.077111652711973))"
7,13.35583538743856,"(0.16768759844073328 * (A - (0.36706145897693165 * B)))"
9,7.088464669687429,"((A / ((A + B) / 2.035695457259045)) - 0.5535289896594832)"
11,6.438612536723619,"((A / ((A + (B - -0.4722613925361883)) / 2.035695457259045)) + -0.48299224746612734)"
13,5.61138773132417,"((A + (-0.42891437590090764 * B)) / ((A / 1.31233273710599) + (B / A)))"
15,5.298395971264148,"((A + (-0.42891437590090764 * B)) / ((A / 1.31233273710599) + ((B + 0.5054189084370231) / A)))"
