Complexity,Loss,Equation
1,55.91922539804529,"0.4126996894272148"
3,21.524046949406042,"(0.12272791171610122 * A)"
5,20.50096331055067,"((0.14343744327053823 * A) - 0.10321833618617264)"
7,12.570562740724325,"(-0.1695802741634452 * ((0.3652258958926858 * B) - A))"
9,6.897108716074632,"(((B / (B + A)) * -2.045552567099726) - -1.4913416282577658)"
11,6.782537080841342,"((((B - -0.04371721551266419) / (B + A)) * -2.045552567099726) - -1.4913416282577658)"
13,5.7756240679440065,"(((B - ((A + 0.43724557546040177) + A)) / (A + 2.288678702726039)) * -0.8039833539438151)"
15,5.303463346152977,"(((((B - A) - A) / (A + (B / A))) * -0.592869818159322) - -0.07643689943235257)"
17,4.997263412827244,"((((B - (A + A)) + -0.6354053378566947) / (A + ((B + 1.595662809987903) / A))) * -0.6354053378566947)"
