Complexity,Loss,Equation
1,34.13960467895073,"0.42718264609719364"
3,12.875327975893697,"(0.115145085135401 * A)"
5,9.008913699175979,"(A / (B - -5.425180135146649))"
7,7.7236287545163576,"(0.15788381811904648 * (A + (-0.3606032015111874 * B)))"
9,4.2475682301565385,"(((A * 2.0914869194419863) / (B + A)) - 0.5709321819202365)"
11,4.015054549326102,"((((A - -0.52923733084532) + A) - B) / (A - -4.616964013912839))"
13,3.4929355605556496,"((((A + A) - B) / (A + (B / A))) / 1.5249599887380287)"
15,3.057106246335929,"(((((A + A) - B) / (A + (B / A))) - -0.09090676157596109) / 1.618483008500101)"
17,2.894524857211935,"((((A + (A - -0.5957808188694701)) - B) / (A + (B / (A - 0.7624457749899708)))) / 1.618483008500101)"
