Complexity,Loss,Equation
1,49.230402599592104,"0.39894852595462255"
3,19.107430278987355,"(0.12068872518469345 * A)"
5,12.29216181290119,"(A / (B - -5.02230994813655))"
7,11.235424850266336,"(0.16817047371536972 * (A + (-0.3678305306566873 * B)))"
9,6.316655980458809,"(((A * 2.0274214306070784) / (A + B)) - 0.5495997213868562)"
11,5.383188295055996,"(((A * 2.1646582556525495) / ((A + B) + 0.6681771813681373)) - 0.511007371028068)"
13,4.896510843392032,"((((A * 2.1646582556525495) - B) / (A + (B / A))) * 0.5828791759532713)"
15,4.625713557859198,"((((A * 2.1646582556525495) - B) / (A + ((0.8607332936809853 + B) / A))) * 0.6108526131617994)"
17,4.4103842599085645,"(((((A * 2.1646582556525495) - B) / (A + ((B + 1.0195643127865575) / A))) + 0.055799653618760756) * 0.5828791759532713)"
