Complexity,Loss,Equation
1,2.2084432,"0.105242625"
3,1.9909576,"(0.1935586 * CNO)"
5,1.636282,"(0.020569097 / (CNO + -0.021818424))"
7,0.39547098,"((-0.01932591 / (-0.01932591 + CNO)) * -0.028952783)"
9,0.31730378,"(((-0.016620206 / (CNO + -0.019332929)) - CNO) * -0.042450614)"
11,0.15783484,"(((0.018905168 / ((CNO + -0.019320225) / 0.1299824)) + CNO) * 0.18621355)"
13,0.13960278,"(((CNO / ((CNO + -0.019294705) / -0.026191829)) + (CNO * 1.6418694)) * 0.1189867)"
15,0.13684411,"(((CNO / ((CNO + -0.019294705) / -0.026191829)) - (0.56134236 - (CNO / 0.56134236))) * 0.1183843)"
17,0.136783,"(((CNO / ((CNO + -0.019294705) / -0.026191829)) + (CNO + ((CNO * 0.74494797) + -0.5072075))) * 0.1183843)"
