Complexity,Loss,Equation
1,1.8957801,"0.14865582"
3,1.6655301,"(0.19792312 * CNO)"
5,1.4494894,"(0.018090084 / (CNO - 0.022056194))"
7,1.0318965,"(0.07189095 / ((CNO / 0.07189095) + -0.27623123))"
9,0.4152862,"(0.020323956 / ((CNO / -0.030064728) + (2.5834832 + -1.9425734)))"
11,0.3673625,"((CNO / ((CNO / -0.030064728) + (2.5834832 + -1.9425734))) + 0.2343942)"
13,0.12283565,"(((CNO / ((CNO / -0.024401158) + (1.9986418 * 0.39568436))) - -0.22137523) * CNO)"
15,0.12147081,"((((CNO / ((CNO / -0.024401158) + (1.9986418 * 0.39568436))) - -0.22137523) * CNO) + -0.024401164)"
17,0.12052829,"((((CNO / ((CNO / -0.024401158) + (1.9986418 * 0.39568436))) - -0.22980958) * CNO) - (0.023126855 * 1.9986418))"
