Complexity,Loss,Equation
1,0.031288955,"0.7571888"
5,0.03128856,"((t * 0.00020101426) - -0.75618404)"
6,0.030815594,"((3.721135e-6 * exp(t)) - -0.74649584)"
7,0.020725254,"(0.78089935 + (-0.007009719 / (3.589963 - t)))"
9,0.020674566,"(0.78089935 + (-0.007009719 / ((3.589963 - t) * 0.8926043)))"
