Complexity,Loss,Equation
1,0.17254464,"0.23513013"
3,0.033886466,"(CNO * 0.18819802)"
5,0.032763112,"((0.19880788 * CNO) + -0.04170414)"
7,0.03276311,"(-0.041707233 - (CNO + (-1.1988077 * CNO)))"
9,0.03055206,"(0.18819802 * (CNO - (-0.010820543 / (-0.016149258 - CNO))))"
11,0.029910987,"(((0.009361128 * (1.8051023 - CNO)) - -0.24210607) * (CNO - 0.30432078))"
13,0.029909598,"((((0.26238334 * CNO) - 0.078082256) - 0.0009001701) + (CNO * (-0.009359467 * CNO)))"
15,0.029737761,"(((0.009361128 * ((-0.10848968 * CNO) * (-1.3764637 + CNO))) - -0.24210607) * (CNO - 0.30432078))"
17,0.029682696,"(((0.009361128 * ((0.04256795 * CNO) * (-1.1988077 + (CNO / -0.54025614)))) - -0.24210607) * (CNO - 0.30432078))"
