Complexity,Loss,Equation
1,3.3994062,"-0.30420765"
3,2.7315326,"(-0.37758636 * CNO)"
5,1.3528758,"(-0.010783334 / (CNO + -0.010783334))"
7,0.6132387,"(CNO / ((CNO / -0.7517111) - -0.013721826))"
9,0.5293651,"((0.09646966 / ((CNO / -0.04047248) - -0.24877189)) + -0.52714926)"
11,0.022302022,"(((0.2369738 / ((CNO / -0.02615509) - -0.38186875)) - CNO) / 2.6537533)"
13,0.021786062,"((((0.2369738 / ((CNO / -0.02615509) - -0.38186875)) + -0.060855534) - CNO) / 2.6537533)"
15,0.010525068,"((((0.1325414 / (((CNO / -0.026807997) - -0.37896898) - CNO)) - CNO) - CNO) * 0.18992752)"
17,0.010439906,"(((((0.1325414 / (((CNO / -0.026807997) - -0.37896898) - CNO)) - CNO) + 0.04849574) - CNO) * 0.18992752)"
