Complexity,Loss,Equation
1,0.7922563,"0.33998436"
3,0.28415465,"(CNO * 0.32824504)"
5,0.27949938,"((0.22925617 - CNO) * -0.34484184)"
9,0.26782846,"((((-0.018066073 * CNO) + 0.48004377) * CNO) + -0.13876902)"
11,0.26779157,"((CNO / ((0.14078355 * CNO) - (-2.0680242 * 0.92712766))) - 0.14078355)"
13,0.2657963,"((CNO * CNO) / (CNO - ((-0.22925831 - (CNO - 0.36534366)) - CNO)))"
15,0.26045713,"(((CNO * CNO) / (CNO - ((-0.22925831 - (CNO - 0.36534366)) - CNO))) + -0.07755656)"
17,0.25936598,"(((CNO - 0.10339232) * CNO) / (-0.45905426 - (((-0.12292932 - 0.2030023) - (CNO + CNO)) - CNO)))"
