Complexity,Loss,Equation
1,1.9991218,"0.13936518"
3,1.7622945,"(0.20055944 * CNO)"
5,1.5383012,"(0.022875747 / (-0.02161306 + CNO))"
7,1.0820439,"(0.009020067 / ((-0.02161306 / 1.0785036) + CNO))"
9,0.9961081,"(CNO / (((CNO - 0.19219767) / 0.4153123) + 0.4153123))"
11,0.47283125,"((CNO / (CNO - ((0.17014533 * -5.419555) * -0.021017868))) * 0.08296419)"
13,0.32178205,"(((CNO / (CNO - ((0.17014533 * -5.419555) * -0.021017868))) + CNO) * 0.084524706)"
15,0.250474,"(((CNO / (CNO - ((0.46354908 * -1.7066102) * (-0.0438068 + CNO)))) + CNO) * 0.09653468)"
17,0.18752576,"(((CNO / (CNO - ((0.34507406 * -1.4221934) * (-0.058763232 + CNO)))) + (CNO / 0.39803284)) * 0.074182004)"
