Complexity,Loss,Equation
1,0.71596545,"0.44054264"
3,0.15258506,"(0.34080896 * CNO)"
5,0.14970496,"((0.35491616 * CNO) + -0.06463259)"
9,0.14404987,"(((0.44529095 - (0.012165643 * CNO)) * CNO) + -0.11393593)"
11,0.1217017,"((CNO / ((CNO + (CNO / 0.5437369)) + -0.12849176)) * CNO)"
13,0.1179501,"(((CNO / ((CNO + (CNO / 0.5437369)) + -0.12849176)) * CNO) + -0.07853127)"
15,0.11771386,"((((CNO / ((CNO + (CNO / 0.5437369)) + -0.12849176)) * CNO) + 0.37640923) - 0.43901008)"
17,0.11683505,"(((CNO / ((((CNO + 0.21988069) / 0.5403882) + (1.1071831 * CNO)) - 0.5403882)) * CNO) + -0.02564823)"
