Complexity,Loss,Equation
1,2.1459959,"-0.41241932"
3,1.3905524,"(-0.38085932 * CNO)"
5,1.3805008,"((-0.28986263 + CNO) * -0.40492705)"
9,0.99422723,"(-1.7088486 * (CNO / (-0.16606583 - (CNO / -0.0597289))))"
11,0.16733691,"(-0.41221312 * ((0.041765306 / (-0.16606583 - (CNO / -0.0597289))) + CNO))"
13,0.11459411,"(-0.19160078 * ((CNO + CNO) - (-0.039611585 / (-0.2551091 - (CNO / -0.038705282)))))"
15,0.11447585,"(-0.19161241 * (CNO - (((-0.03961161 / (-0.25510707 - (CNO / -0.038705014))) - CNO) * 0.9885345)))"
17,0.113052264,"(((-0.17076805 / -0.1450295) * (CNO - ((-0.010819543 - CNO) / (-0.35227513 - (CNO / -0.028017923))))) * -0.326503)"
