Complexity,Loss,Equation
1,2.8762734,"-0.34756556"
3,2.1866696,"(-0.37156135 * CNO)"
5,0.7549996,"(CNO / (0.010402033 - CNO))"
7,0.6366088,"((CNO / (0.0104080215 - CNO)) + 0.35068846)"
9,0.2586786,"((0.01042578 / (0.01042578 - CNO)) + (-0.3866404 * CNO))"
11,0.01789417,"(((-0.13847432 + CNO) / (0.023481531 - (CNO * 2.3892996))) * CNO)"
13,0.009861878,"(((CNO / (0.023481531 - (CNO * 2.3892996))) * -0.131212) + (-0.38269147 * CNO))"
15,0.00939101,"((((CNO / (0.023481531 - (CNO * 2.3892996))) * -0.131212) + (-0.38009948 * CNO)) - 0.023481531)"
17,0.009364041,"((((CNO / (0.023481531 - (CNO * 2.3892996))) * 1.313293) + ((CNO / 0.2646717) + 0.2590441)) * -0.10019633)"
