Complexity,Loss,Equation
1,2.4430454,"-0.40596104"
3,1.6829776,"(-0.3762346 * CNO)"
5,1.6708301,"((0.3204161 - CNO) * 0.4025118)"
7,1.3384709,"(CNO / (0.015984964 + (CNO / -0.67287517)))"
9,0.8725368,"((-0.8299111 / (CNO + (0.08328249 * -0.12466834))) * CNO)"
11,0.13366798,"(((0.112763755 / ((0.015984964 * -0.61283505) + CNO)) - 0.39905858) * CNO)"
13,0.13013725,"((((0.112763755 / ((0.015984964 * -0.61283505) + CNO)) - 0.383952) * CNO) + -0.07336183)"
15,0.13010663,"(((((0.112763755 * 1.0045074) / ((0.015984964 * -0.61283505) + CNO)) - 0.383952) * CNO) + -0.07336183)"
17,0.13010514,"((((0.112763755 / ((0.015984964 * -0.61283505) + CNO)) - 0.383952) * (CNO / 0.99437857)) + (0.112763755 * -0.61283505))"
