Complexity,Loss,Equation
1,3.8721967,"-0.3400831"
3,3.1201859,"(CNO * -0.3773954)"
5,2.6992462,"(0.019107342 / (0.01294087 - CNO))"
7,0.7623519,"(CNO / (0.01294087 - (CNO / 0.8045786)))"
9,0.60148287,"((-0.8436987 / ((CNO / 0.009698231) + -1.0632412)) + -0.62811905)"
11,0.012344226,"((0.0757476 / ((CNO / 0.015140193) + -0.64690006)) - (CNO * 0.37824023))"
13,0.009968857,"(((0.0757476 / ((CNO / 0.015140193) + -0.64690006)) - -0.06620485) + (-0.39470255 * CNO))"
15,0.009955429,"((0.0757476 / ((CNO / 0.015140193) + -0.64690006)) - ((-0.2868417 + (CNO / 0.5096343)) * 0.1984993))"
17,0.009955343,"((0.0757476 / ((CNO / 0.015140193) + -0.64690006)) - (((-0.64690006 * 0.4383466) + (CNO / 0.5096343)) * 0.1984993))"
