Complexity,Loss,Equation
1,0.48816273,"0.50415504"
3,0.0716204,"(0.34999168 * CNO)"
5,0.071183,"(0.3433867 * (CNO - -0.07588543))"
7,0.071182996,"(((1.343374 * CNO) - -0.026021684) - CNO)"
9,0.06807494,"(0.3500433 * (CNO - (-0.02346096 / (0.06792764 + CNO))))"
11,0.06688206,"((0.34999168 * CNO) - (-0.023896081 / ((CNO / 0.005169693) - -0.1779974)))"
13,0.05871258,"(0.34999076 * (CNO - (-0.0526633 / (((0.34999076 * CNO) + -1.7567219) / -1.359926))))"
15,0.057035364,"((0.34999076 * (CNO - (-0.0526633 / (((0.34999076 * CNO) + -1.7567219) / -1.3996547)))) * 1.0461091)"
17,0.0570342,"((0.34999076 * ((CNO + -0.0028782834) - (-0.0526633 / (((0.34999076 * CNO) + -1.7567219) / -1.3996547)))) * 1.0461091)"
