Complexity,Loss,Equation
1,0.24964716,"0.21185695"
3,0.08107029,"(0.18725097 * CNO)"
5,0.07686253,"(0.20565543 * (-0.38504422 + CNO))"
9,0.05225687,"(0.19752762 * (CNO - (0.011108842 / (CNO - 0.12117429))))"
11,0.0337609,"(0.17559434 * (CNO - (0.011108842 / ((0.18725097 * -0.6551874) + CNO))))"
15,0.029383939,"(0.17559434 * (CNO - (0.011108842 / (0.2745343 - ((0.011106381 / (0.19752808 - CNO)) + CNO)))))"
17,0.027482077,"(0.19753502 * (CNO - ((0.010983699 / ((0.2745343 - (0.011106381 / (0.19753502 - CNO))) - CNO)) + 0.23202784)))"
