Complexity,Loss,Equation
1,2.4891424,"0.06988747"
3,2.2710342,"(0.19624019 * CNO)"
5,1.816219,"(0.019830324 / (-0.02234114 + CNO))"
7,1.6097857,"(0.019830324 / (-0.02234114 + (CNO / 0.9474652)))"
9,0.36021283,"((CNO / ((CNO / 0.024643803) - 0.7829423)) * -0.12759928)"
11,0.1353102,"(((CNO / ((CNO / 0.024437124) - 0.7895013)) - CNO) * -0.194196)"
13,0.12992983,"((((CNO / ((CNO / 0.024441479) - 0.7893447)) + 0.37961236) - CNO) * -0.2126054)"
15,0.1296941,"(((((CNO / ((CNO / 0.02443712) - 0.789511)) * 0.86712873) + 0.34977108) - CNO) * -0.21260852)"
17,0.12939139,"(((((CNO / ((CNO / 0.024643803) - 0.7829423)) - CNO) - -0.70090294) + (-0.70090294 * CNO)) * -0.12759928)"
